code,name,name_en,full_name,full_name_en,code_name,province_code,administrative_unit_id
01024,Bản Máy,Ban May,Xã Bản Máy,Ban May Commune,ban_may,08,10
01033,Thàng Tín,Thang Tin,Xã Thàng Tín,Thang Tin Commune,thang_tin,08,10
01051,Tân Tiến,Tan Tien,Xã Tân Tiến,Tan Tien Commune,tan_tien,08,10
01057,Pờ Ly Ngài,Po Ly Ngai,Xã Pờ Ly Ngài,Po Ly Ngai Commune,po_ly_ngai,08,10
01075,Nậm Dịch,Nam Dich,Xã Nậm Dịch,Nam Dich Commune,nam_dich,08,10
01084,Hồ Thầu,Ho Thau,Xã Hồ Thầu,Ho Thau Commune,ho_thau,08,10
01090,Thông Nguyên,Thong Nguyen,Xã Thông Nguyên,Thong Nguyen Commune,thong_nguyen,08,10
01096,Pà Vầy Sủ,Pa Vay Su,Xã Pà Vầy Sủ,Pa Vay Su Commune,pa_vay_su,08,10
01108,Xín Mần,Xin Man,Xã Xín Mần,Xin Man Commune,xin_man,08,10
01117,Trung Thịnh,Trung Thinh,Xã Trung Thịnh,Trung Thinh Commune,trung_thinh,08,10
01141,Nấm Dẩn,Nam Dan,Xã Nấm Dẩn,Nam Dan Commune,nam_dan,08,10
01144,Quảng Nguyên,Quang Nguyen,Xã Quảng Nguyên,Quang Nguyen Commune,quang_nguyen,08,10
01147,Khuôn Lùng,Khuon Lung,Xã Khuôn Lùng,Khuon Lung Commune,khuon_lung,08,10
01153,Bắc Quang,Bac Quang,Xã Bắc Quang,Bac Quang Commune,bac_quang,08,10
01156,Vĩnh Tuy,Vinh Tuy,Xã Vĩnh Tuy,Vinh Tuy Commune,vinh_tuy,08,10
01165,Đồng Tâm,ong Tam,Xã Đồng Tâm,ong Tam Commune,ong_tam,08,10
01171,Tân Quang,Tan Quang,Xã Tân Quang,Tan Quang Commune,tan_quang,08,10
01180,Bằng Hành,Bang Hanh,Xã Bằng Hành,Bang Hanh Commune,bang_hanh,08,10
01192,Liên Hiệp,Lien Hiep,Xã Liên Hiệp,Lien Hiep Commune,lien_hiep,08,10
01201,Hùng An,Hung An,Xã Hùng An,Hung An Commune,hung_an,08,10
01216,Đồng Yên,ong Yen,Xã Đồng Yên,ong Yen Commune,ong_yen,08,10
01225,Tiên Nguyên,Tien Nguyen,Xã Tiên Nguyên,Tien Nguyen Commune,tien_nguyen,08,10
01234,Yên Thành,Yen Thanh,Xã Yên Thành,Yen Thanh Commune,yen_thanh,08,10
01237,Quang Bình,Quang Binh,Xã Quang Bình,Quang Binh Commune,quang_binh,08,10
01243,Tân Trịnh,Tan Trinh,Xã Tân Trịnh,Tan Trinh Commune,tan_trinh,08,10
01246,Bằng Lang,Bang Lang,Xã Bằng Lang,Bang Lang Commune,bang_lang,08,10
01255,Xuân Giang,Xuan Giang,Xã Xuân Giang,Xuan Giang Commune,xuan_giang,08,10
01261,Tiên Yên,Tien Yen,Xã Tiên Yên,Tien Yen Commune,tien_yen,08,10
01273,Thục Phán,Thuc Phan,Phường Thục Phán,Thuc Phan Ward,thuc_phan,04,8
01279,Nùng Trí Cao,Nung Tri Cao,Phường Nùng Trí Cao,Nung Tri Cao Ward,nung_tri_cao,04,8
01288,Tân Giang,Tan Giang,Phường Tân Giang,Tan Giang Ward,tan_giang,04,8
01290,Bảo Lâm,Bao Lam,Xã Bảo Lâm,Bao Lam Commune,bao_lam,04,10
01294,Lý Bôn,Ly Bon,Xã Lý Bôn,Ly Bon Commune,ly_bon,04,10
01297,Nam Quang,Nam Quang,Xã Nam Quang,Nam Quang Commune,nam_quang,04,10
01304,Quảng Lâm,Quang Lam,Xã Quảng Lâm,Quang Lam Commune,quang_lam,04,10
01318,Yên Thổ,Yen Tho,Xã Yên Thổ,Yen Tho Commune,yen_tho,04,10
01321,Bảo Lạc,Bao Lac,Xã Bảo Lạc,Bao Lac Commune,bao_lac,04,10
01324,Cốc Pàng,Coc Pang,Xã Cốc Pàng,Coc Pang Commune,coc_pang,04,10
01327,Cô Ba,Co Ba,Xã Cô Ba,Co Ba Commune,co_ba,04,10
01336,Khánh Xuân,Khanh Xuan,Xã Khánh Xuân,Khanh Xuan Commune,khanh_xuan,04,10
01339,Xuân Trường,Xuan Truong,Xã Xuân Trường,Xuan Truong Commune,xuan_truong,04,10
01351,Hưng Đạo,Hung ao,Xã Hưng Đạo,Hung ao Commune,hung_ao,04,10
01354,Huy Giáp,Huy Giap,Xã Huy Giáp,Huy Giap Commune,huy_giap,04,10
01360,Sơn Lộ,Son Lo,Xã Sơn Lộ,Son Lo Commune,son_lo,04,10
01363,Thông Nông,Thong Nong,Xã Thông Nông,Thong Nong Commune,thong_nong,04,10
01366,Cần Yên,Can Yen,Xã Cần Yên,Can Yen Commune,can_yen,04,10
01387,Thanh Long,Thanh Long,Xã Thanh Long,Thanh Long Commune,thanh_long,04,10
01392,Trường Hà,Truong Ha,Xã Trường Hà,Truong Ha Commune,truong_ha,04,10
01393,Lũng Nặm,Lung Nam,Xã Lũng Nặm,Lung Nam Commune,lung_nam,04,10
01414,Tổng Cọt,Tong Cot,Xã Tổng Cọt,Tong Cot Commune,tong_cot,04,10
01438,Hà Quảng,Ha Quang,Xã Hà Quảng,Ha Quang Commune,ha_quang,04,10
01447,Trà Lĩnh,Tra Linh,Xã Trà Lĩnh,Tra Linh Commune,tra_linh,04,10
01456,Quang Hán,Quang Han,Xã Quang Hán,Quang Han Commune,quang_han,04,10
01465,Quang Trung,Quang Trung,Xã Quang Trung,Quang Trung Commune,quang_trung,04,10
01477,Trùng Khánh,Trung Khanh,Xã Trùng Khánh,Trung Khanh Commune,trung_khanh,04,10
01489,Đình Phong,inh Phong,Xã Đình Phong,inh Phong Commune,inh_phong,04,10
01501,Đàm Thủy,am Thuy,Xã Đàm Thủy,am Thuy Commune,am_thuy,04,10
01525,Đoài Dương,oai Duong,Xã Đoài Dương,oai Duong Commune,oai_duong,04,10
01537,Lý Quốc,Ly Quoc,Xã Lý Quốc,Ly Quoc Commune,ly_quoc,04,10
01552,Quang Long,Quang Long,Xã Quang Long,Quang Long Commune,quang_long,04,10
01558,Hạ Lang,Ha Lang,Xã Hạ Lang,Ha Lang Commune,ha_lang,04,10
01561,Vinh Quý,Vinh Quy,Xã Vinh Quý,Vinh Quy Commune,vinh_quy,04,10
01576,Quảng Uyên,Quang Uyen,Xã Quảng Uyên,Quang Uyen Commune,quang_uyen,04,10
01594,Độc Lập,oc Lap,Xã Độc Lập,oc Lap Commune,oc_lap,04,10
01618,Hạnh Phúc,Hanh Phuc,Xã Hạnh Phúc,Hanh Phuc Commune,hanh_phuc,04,10
01636,Bế Văn Đàn,Be Van an,Xã Bế Văn Đàn,Be Van an Commune,be_van_an,04,10
01648,Phục Hòa,Phuc Hoa,Xã Phục Hòa,Phuc Hoa Commune,phuc_hoa,04,10
01654,Hòa An,Hoa An,Xã Hòa An,Hoa An Commune,hoa_an,04,10
01660,Nam Tuấn,Nam Tuan,Xã Nam Tuấn,Nam Tuan Commune,nam_tuan,04,10
01699,Nguyễn Huệ,Nguyen Hue,Xã Nguyễn Huệ,Nguyen Hue Commune,nguyen_hue,04,10
01708,Bạch Đằng,Bach ang,Xã Bạch Đằng,Bach ang Commune,bach_ang,04,10
01726,Nguyên Bình,Nguyen Binh,Xã Nguyên Bình,Nguyen Binh Commune,nguyen_binh,04,10
01729,Tĩnh Túc,Tinh Tuc,Xã Tĩnh Túc,Tinh Tuc Commune,tinh_tuc,04,10
01738,Ca Thành,Ca Thanh,Xã Ca Thành,Ca Thanh Commune,ca_thanh,04,10
01747,Minh Tâm,Minh Tam,Xã Minh Tâm,Minh Tam Commune,minh_tam,04,10
01768,Phan Thanh,Phan Thanh,Xã Phan Thanh,Phan Thanh Commune,phan_thanh,04,10
01774,Tam Kim,Tam Kim,Xã Tam Kim,Tam Kim Commune,tam_kim,04,10
01777,Thành Công,Thanh Cong,Xã Thành Công,Thanh Cong Commune,thanh_cong,04,10
01786,Đông Khê,ong Khe,Xã Đông Khê,ong Khe Commune,ong_khe,04,10
01789,Canh Tân,Canh Tan,Xã Canh Tân,Canh Tan Commune,canh_tan,04,10
01792,Kim Đồng,Kim ong,Xã Kim Đồng,Kim ong Commune,kim_ong,04,10
01795,Minh Khai,Minh Khai,Xã Minh Khai,Minh Khai Commune,minh_khai,04,10
01807,Thạch An,Thach An,Xã Thạch An,Thach An Commune,thach_an,04,10
01822,Đức Long,uc Long,Xã Đức Long,uc Long Commune,uc_long,04,10
01840,Đức Xuân,uc Xuan,Phường Đức Xuân,uc Xuan Ward,uc_xuan,19,8
01843,Bắc Kạn,Bac Kan,Phường Bắc Kạn,Bac Kan Ward,bac_kan,19,8
01849,Phong Quang,Phong Quang,Xã Phong Quang,Phong Quang Commune,phong_quang,19,10
01864,Bằng Thành,Bang Thanh,Xã Bằng Thành,Bang Thanh Commune,bang_thanh,19,10
01879,Cao Minh,Cao Minh,Xã Cao Minh,Cao Minh Commune,cao_minh,19,10
01882,Nghiên Loan,Nghien Loan,Xã Nghiên Loan,Nghien Loan Commune,nghien_loan,19,10
01894,Phúc Lộc,Phuc Loc,Xã Phúc Lộc,Phuc Loc Commune,phuc_loc,19,10
01906,Ba Bể,Ba Be,Xã Ba Bể,Ba Be Commune,ba_be,19,10
01912,Chợ Rã,Cho Ra,Xã Chợ Rã,Cho Ra Commune,cho_ra,19,10
01921,Thượng Minh,Thuong Minh,Xã Thượng Minh,Thuong Minh Commune,thuong_minh,19,10
01933,Đồng Phúc,ong Phuc,Xã Đồng Phúc,ong Phuc Commune,ong_phuc,19,10
01936,Nà Phặc,Na Phac,Xã Nà Phặc,Na Phac Commune,na_phac,19,10
01942,Bằng Vân,Bang Van,Xã Bằng Vân,Bang Van Commune,bang_van,19,10
01954,Ngân Sơn,Ngan Son,Xã Ngân Sơn,Ngan Son Commune,ngan_son,19,10
01957,Thượng Quan,Thuong Quan,Xã Thượng Quan,Thuong Quan Commune,thuong_quan,19,10
01960,Hiệp Lực,Hiep Luc,Xã Hiệp Lực,Hiep Luc Commune,hiep_luc,19,10
